COD_MUNICIPIO;MUNICIPIO;DEPARTAMENTO;ZONA;ZONA_NOM
11001;ESCUELA DE POSTGRADOS;BOGOTÁ D.C.;CENTRO BOGOTA Y CUNDINAMARCA;ZCBC
25269;FACATATIVA;CUNDINAMARCA;CENTRO BOGOTA Y CUNDINAMARCA;ZCBC
25297;GACHETA;CUNDINAMARCA;CENTRO BOGOTA Y CUNDINAMARCA;ZCBC
25307;GIRARDOT;CUNDINAMARCA;CENTRO BOGOTA Y CUNDINAMARCA;ZCBC
25899;ZIPAQUIRÁ;CUNDINAMARCA;CENTRO BOGOTA Y CUNDINAMARCA;ZCBC
11001;CENED;BOGOTÁ D.C.;CENTRO BOGOTA Y CUNDINAMARCA;ZCBC
11001;(BOGOTA CRA.30)JOSE ACEVEDO Y GÓMEZ;BOGOTÁ D.C.;CENTRO BOGOTA Y CUNDINAMARCA;ZCBC
25053;ARBELÁEZ;CUNDINAMARCA;CENTRO BOGOTA Y CUNDINAMARCA;ZCBC
11001;BACHILLERATO A DISTANCIA BOGOTA;BOGOTÁ D.C.;CENTRO BOGOTA Y CUNDINAMARCA;ZCBC
25754;SOACHA;CUNDINAMARCA;CENTRO BOGOTA Y CUNDINAMARCA;ZCBC
25290;FUSAGASUGÁ;CUNDINAMARCA;CENTRO BOGOTA Y CUNDINAMARCA;ZCBC
11001;BOGOTÁ CAFAM;BOGOTÁ D.C.;CENTRO BOGOTA Y CUNDINAMARCA;ZCBC
25178;CHIPAQUE;CUNDINAMARCA;CENTRO BOGOTA Y CUNDINAMARCA;ZCBC
54498;OCAÑA;NORTE DE SANTANDER;CENTRO ORIENTE;ZCORI
68001;BUCARAMANGA;SANTANDER;CENTRO ORIENTE;ZCORI
68432;MÁLAGA;SANTANDER;CENTRO ORIENTE;ZCORI
68861;VÉLEZ;SANTANDER;CENTRO ORIENTE;ZCORI
68081;BARRANCABERMEJA;SANTANDER;CENTRO ORIENTE;ZCORI
54518;PAMPLONA;NORTE DE SANTANDER;CENTRO ORIENTE;ZCORI
81736;SARAVENA;ARAUCA;CENTRO ORIENTE;ZCORI
54001;CÚCUTA;NORTE DE SANTANDER;CENTRO ORIENTE;ZCORI
11001;CUCUTA CAFAM;BOGOTÁ D.C.;CENTRO ORIENTE;ZCORI
19001;POPAYÁN;CAUCA;CENTRO SUR;ZCSUR
52001;PASTO;NARIÑO;CENTRO SUR;ZCSUR
76520;PALMIRA;VALLE DEL CAUCA;CENTRO SUR;ZCSUR
76001;CALI;VALLE DEL CAUCA;CENTRO SUR;ZCSUR
19698;SANTANDER DE QUILICHAO;CAUCA;CENTRO SUR;ZCSUR
19532;EL BORDO;CAUCA;CENTRO SUR;ZCSUR
52835;TUMACO;NARIÑO;CENTRO SUR;ZCSUR
11001;CALÍ CAFAM;BOGOTÁ D.C.;CENTRO SUR;ZCSUR
11001;TULUÁ CAFAM;BOGOTÁ D.C.;CENTRO SUR;ZCSUR
8001;BARRANQUILLA;ATLÁNTICO;CARIBE;ZCAR
20001;VALLEDUPAR;CESAR;CARIBE;ZCAR
70215;COROZAL;SUCRE;CARIBE;ZCAR
13001;CARTAGENA;BOLÍVAR;CARIBE;ZCAR
8001;BARRANQUILLA ;ATLÁNTICO;CARIBE;ZCAR
47001;SANTA MARTA;MAGDALENA;CARIBE;ZCAR
23660;SAHAGÚN;CÓRDOBA;CARIBE;ZCAR
44001;LA GUAJIRA;LA GUAJIRA;CARIBE;ZCAR
47245;EL BANCO;MAGDALENA;CARIBE;ZCAR
47555;PLATO;MAGDALENA;CARIBE;ZCAR
20228;CURUMANÍ;CESAR;CARIBE;ZCAR
20011;AGUACHICA;CESAR;CARIBE;ZCAR
41551;PITALITO;HUILA;SUR;ZSUR
73411;LÍBANO;TOLIMA;SUR;ZSUR
73001;IBAGUÉ;TOLIMA;SUR;ZSUR
41396;LA PLATA;HUILA;SUR;ZSUR
41001;NEIVA;HUILA;SUR;ZSUR
18029;ALBANIA;CAQUETÁ;SUR;ZSUR
18150;CARTAGENA DEL CHAIRA;CAQUETÁ;SUR;ZSUR
11001;DONCELLO;BOGOTÁ D.C.;SUR;ZSUR
73443;MARIQUITA;TOLIMA;SUR;ZSUR
18001;FLORENCIA;CAQUETÁ;SUR;ZSUR
86865;VALLE DEL GUAMUEZ;PUTUMAYO;SUR;ZSUR
18753;SAN VICENTE DEL CAGUÁN;CAQUETÁ;SUR;ZSUR
86568;PUERTO ASIS;PUTUMAYO;SUR;ZSUR
86573;PUERTO LEGUÍZAMO;PUTUMAYO;SUR;ZSUR
17380;LA DORADA;CALDAS;OCCIDENTE;ZOCC
5001;MEDELLÍN;ANTIOQUIA;OCCIDENTE;ZOCC
5837;TURBO;ANTIOQUIA;OCCIDENTE;ZOCC
66170;DOSQUEBRADAS;RISARALDA;OCCIDENTE;ZOCC
66456;MISTRATO;RISARALDA;OCCIDENTE;ZOCC
66594;QUINCHIA;RISARALDA;OCCIDENTE;ZOCC
27001;QUIBDÓ;CHOCÓ;OCCIDENTE;ZOCC
11001;PUERTO CALDAS;BOGOTÁ D.C.;OCCIDENTE;ZOCC
5250;EL BAGRE;ANTIOQUIA;OCCIDENTE;ZOCC
63401;LA TEBAIDA;QUINDÍO;OCCIDENTE;ZOCC
85001;YOPAL;CASANARE;AMAZONAS Y ORINOQUIA;ZAO
50006;ACACIAS;META;AMAZONAS Y ORINOQUIA;ZAO
95001;SAN JOSÉ DEL GUAVIARE;GUAVIARE;AMAZONAS Y ORINOQUIA;ZAO
99001;PUERTO CARREÑO;VICHADA;AMAZONAS Y ORINOQUIA;ZAO
94001;PUERTO INÍRIDA;GUAINÍA;AMAZONAS Y ORINOQUIA;ZAO
50226;CUMARAL;META;AMAZONAS Y ORINOQUIA;ZAO
91001;LETICIA;AMAZONAS;AMAZONAS Y ORINOQUIA;ZAO
11001;UNAD FLORIDA;BOGOTÁ D.C.;UNAD FLORIDA;FLORIDA
15238;DUITAMA;BOYACÁ;CENTRO BOYACA;ZCBOY
15759;SOGAMOSO;BOYACÁ;CENTRO BOYACA;ZCBOY
15757;SOCHA;BOYACÁ;CENTRO BOYACA;ZCBOY
15753;SOATÁ;BOYACÁ;CENTRO BOYACA;ZCBOY
15001;TUNJA;BOYACÁ;CENTRO BOYACA;ZCBOY
15097;BOAVITA;BOYACÁ;CENTRO BOYACA;ZCBOY
15176;CHIQUINQUIRÁ;BOYACÁ;CENTRO BOYACA;ZCBOY
15299;GARAGOA;BOYACÁ;CENTRO BOYACA;ZCBOY
15223;CUBARÁ;BOYACÁ;CENTRO BOYACA;ZCBOY
11001;JOSE CELESTINO MUTIS (JCM);BOGOTÁ D.C.;SEDE NACIONAL JOSE CELESTINO MUTIS;JCM
999999;SECCIONAL UNIÓN EUROPEA;EXTERIOR;ZONA SECCIONAL UNIÓN EUROPEA;UE
