COD_SNIES;NOMBRE_DEL_PROGRAMA;TITULO_OTORGADO;ESTADO_PROGRAMA
116222;Administración Ambiental y de los Recursos Naturales;Administrador(a) Ambiental y de los Recursos Naturales;Activo
1688;ADMINISTRACION DE EMPRESAS;ADMINISTRADOR DE EMPRESAS;Activo
103808;ADMINISTRACIÓN EN SALUD;ADMINISTRADOR EN SALUD;Activo
52061;AGRONOMÍA;AGRONOMO;Activo
104886;ARTES VISUALES;MAESTRO EN ARTES VISUALES;Activo
107927;CIENCIA POLÍTICA;POLITÓLOGO(A);Activo
3425;COMUNICACION SOCIAL;COMUNICADOR SOCIAL;Activo
107233;CONTADURIA PÚBLICA;CONTADOR PÚBLICO;Activo
110569;DERECHO;ABOGADA(O);Activo
107168;DISEÑO INDUSTRIAL;DISEÑADOR INDUSTRIAL;Activo
104721;ECONOMÍA;ECONOMISTA;Activo
111343;ESPECIALIZACIÓN EN ALTA GERENCIA Y DESARROLLO ORGANIZACIONAL;ESPECIALISTA EN ALTA GERENCIA Y DESARROLLO ORGANIZACIONAL;Activo
52267;ESPECIALIZACION EN BIOTECNOLOGIA AGRARIA;ESPECIALISTA EN BIOTECNOLOGIA AGRARIA;Inactivo
52017;ESPECIALIZACION EN BIOTECNOLOGIA AGRARIA;ESPECIALISTA EN BIOTECNOLOGIA AGRARIA;Activo
109306;ESPECIALIZACION EN BIOTECNOLOGIA AGRARIA.;ESPECIALISTA EN BIOTECNOLOGIA AGRARIA;Inactivo
109307;ESPECIALIZACION EN BIOTECNOLOGIA AGROAMBIENTAL;ESPECIALISTA EN BIOTECNOLOGIA AGROAMBIENTAL;Activo
116032;Especialización en Ciencia de Datos y Analítica;Especialista en Ciencia de Datos y Analítica;Activo
10676;ESPECIALIZACION EN DIRECCION PROSPECTIVA Y ESTRATEGICA DE LAS ORGANIZACIONES UNIVERSITARIAS;ESPECIALISTA EN DIRECCION PROSPECTIVA Y ESTRATEGICA DE LAS ORGANIZACIONES UNIVERSITARIAS;Inactivo
10674;ESPECIALIZACIÓN EN EDUCACIÓN, CULTURA Y POLITICA;ESPECIALISTA EN EDUCACIÓN, CULTURA Y POLITICA;Activo
10673;ESPECIALIZACION EN EDUCACION SUPERIOR A DISTANCIA;ESPECIALISTA EN EDUCACION  SUPERIOR A DISTANCIA;Activo
110804;ESPECIALIZACIÓN EN FINANZAS CORPORATIVAS;ESPECIALISTA EN FINANZAS CORPORATIVAS;Activo
107234;ESPECIALIZACIÓN EN GERENCIA DE PROCESOS LOGÍSTICOS EN REDES DE VALOR;ESPECIALISTA EN GERENCIA DE PROCESOS LOGÍSTICOS EN REDES DE VALOR;Activo
8589;ESPECIALIZACION EN GERENCIA ESTRATEGICA DE MERCADEO;ESPECIALISTA EN GERENCIA ESTRATEGICA DE MERCADEO;Activo
52598;ESPECIALIZACIÓN EN GESTIÓN DE PROYECTOS;ESPECIALISTA EN GESTIÓN DE PROYECTOS;Activo
54617;ESPECIALIZACIÓN EN GESTIÓN PÚBLICA;ESPECIALISTA EN GESTIÓN PÚBLICA;Activo
8442;ESPECIALIZACION EN INGENIERIA DE PROCESOS EN ALIMENTOS Y BIOMATERIALES;ESPECIALISTA EN INGENIERIA DE PROCESOS EN ALIMENTOS Y BIOMATERIALES;Inactivo
52195;ESPECIALIZACION EN MEJORAMIENTO GENETICO;ESPECIALISTA EN MEJORAMIENTO GENETICO;Inactivo
8044;ESPECIALIZACION EN NUTRICION ANIMAL SOSTENIBLE;ESPECIALISTA EN NUTRICION ANIMAL SOSTENIBLE;Inactivo
111189;ESPECIALIZACION EN NUTRICION Y ALIMENTACION ANIMAL SOSTENIBLE;ESPECIALISTA  EN NUTRICION Y ALIMENTACION ANIMAL SOSTENIBLE;Activo
10675;ESPECIALIZACION EN PEDAGOGIA PARA EL DESARROLLO DEL APRENDIZAJE AUTONOMO;ESPECIALISTA EN PEDAGOGIA PARA EL DESARROLLO DEL APRENDIZAJE AUTONOMO;Activo
53031;ESPECIALIZACIÓN EN PROCESOS DE ALIMENTOS Y BIOMATERIALES;ESPECIALISTA EN PROCESOS DE ALIMENTOS Y BIOMETERIALES;Activo
107232;ESPECIALIZACIÓN EN REDES DE NUEVA GENERACIÓN;ESPECIALISTA EN REDES DE NUEVA GENERACIÓN;Activo
110184;ESPECIALIZACIÓN EN RESPONSABILIDAD SOCIAL Y AMBIENTAL;ESPECIALISTA EN RESPONSABILIDAD SOCIAL Y AMBIENTAL;Activo
102145;ESPECIALIZACIÓN EN SEGURIDAD INFORMÁTICA;ESPECIALISTA EN SEGURIDAD INFORMÁTICA;Activo
4074;FILOSOFIA;FILOSOFO;Activo
107751;GESTIÓN DEPORTIVA;PROFESIONAL EN GESTIÓN DEPORTIVA;Activo
52002;INGENIERIA  AGROFORESTAL;INGENIERO AGROFORESTAL;Inactivo
108508;INGENIERÍA AGROFORESTAL;INGENIERO(A) AGROFORESTAL;Activo
90868;INGENIERÍA AMBIENTAL;INGENIERO AMBIENTAL;Inactivo
1689;INGENIERIA DE ALIMENTOS;INGENIERO DE ALIMENTOS;Activo
54770;INGENIERIA DE AUDIO;INGENIERO DE AUDIO;Inactivo
2776;INGENIERIA DE SISTEMAS;INGENIERO DE SISTEMAS;Activo
52243;INGENIERIA DE TELECOMUNICACIONES;INGENIERO DE TELECOMUNICACIONES;Activo
51728;INGENIERIA ELECTRONICA;INGENIERO ELECTRONICO;Activo
51731;INGENIERIA INDUSTRIAL;INGENIERO INDUSTRIAL;Inactivo
